protein,fold_change,pval,n healthy,n sick,p_adj
P156,0.040375606,1.01E-04,1006,48603,1.89E-03
P157,-0.039668995,1.05E-04,1006,48603,1.96E-03
P158,0.074218231,1.13E-04,1006,48603,2.08E-03
P159,0.067002559,1.15E-04,1006,48603,2.12E-03
P160,0.052066024,1.23E-04,1006,48603,2.24E-03
P161,0.043210662,1.25E-04,1006,48603,2.26E-03
P162,0.04004178,1.28E-04,1006,48603,2.30E-03
P163,0.128975917,1.29E-04,1006,48603,2.30E-03
P164,0.058865709,1.29E-04,1006,48603,2.30E-03
P165,0.060488538,1.36E-04,1006,48603,2.40E-03
P166,0.063250504,1.38E-04,1006,48603,2.43E-03
P167,0.119776311,1.40E-04,1006,48603,2.44E-03
P168,0.040751769,1.40E-04,1006,48603,2.44E-03
P169,0.105828665,1.41E-04,1006,48603,2.44E-03
P170,-0.06552271,1.46E-04,1006,48603,2.52E-03
P171,-0.052112033,1.49E-04,1006,48603,2.54E-03
P172,0.045949449,1.51E-04,1006,48603,2.56E-03
P173,-0.130731735,1.65E-04,1006,48603,2.79E-03
P174,-0.101195922,1.69E-04,1006,48603,2.83E-03
P175,-0.062579432,1.71E-04,1006,48603,2.86E-03
P176,-0.106851152,1.74E-04,1006,48603,2.89E-03
P177,0.064221532,1.75E-04,1006,48603,2.89E-03
P178,0.041877246,1.78E-04,1006,48603,2.92E-03
P179,0.04393012,1.85E-04,1006,48603,3.02E-03
P180,0.080238454,1.89E-04,1006,48603,3.07E-03
P181,0.096926596,1.96E-04,1006,48603,3.16E-03
P182,0.043687723,1.97E-04,1006,48603,3.16E-03
P183,0.040451062,2.03E-04,1006,48603,3.23E-03
P184,0.044639605,2.08E-04,1006,48603,3.31E-03
P185,0.04001962,2.13E-04,1006,48603,3.35E-03
P186,-0.050516235,2.13E-04,1006,48603,3.35E-03
P187,0.042872575,2.15E-04,1006,48603,3.36E-03
P188,0.035885925,2.16E-04,1006,48603,3.36E-03
P189,0.05026193,2.43E-04,1006,48603,3.76E-03
P190,0.064170452,2.47E-04,1006,48603,3.81E-03
P191,0.032031657,2.49E-04,1006,48603,3.81E-03
P192,0.081670176,2.61E-04,1006,48603,3.97E-03
P193,0.065023752,2.64E-04,1006,48603,4.00E-03
P194,-0.061580769,2.72E-04,1006,48603,4.07E-03
P195,0.065767125,2.72E-04,1006,48603,4.07E-03
P196,0.035463616,2.78E-04,1006,48603,4.14E-03
P197,0.048151361,3.01E-04,1006,48603,4.47E-03
P198,-0.035004715,3.09E-04,1006,48603,4.56E-03
P199,0.027049144,3.19E-04,1006,48603,4.68E-03
P200,0.045388152,3.33E-04,1006,48603,4.87E-03
P201,0.042418583,3.38E-04,1006,48603,4.91E-03
P202,0.043345889,3.41E-04,1006,48603,4.94E-03
P203,0.057185521,3.51E-04,1006,48603,5.05E-03
P204,0.130254567,3.55E-04,1006,48603,5.08E-03
P205,0.044276451,3.60E-04,1006,48603,5.08E-03
P206,0.035796971,3.60E-04,1006,48603,5.08E-03
P207,0.026374824,3.57E-04,1006,48603,5.08E-03
P208,0.03412485,3.70E-04,1006,48603,5.20E-03
P209,-0.083168575,3.87E-04,1006,48603,5.41E-03
P210,0.122203549,3.92E-04,1006,48603,5.43E-03
P211,-0.111783392,3.92E-04,1006,48603,5.43E-03
P212,0.052189587,3.94E-04,1006,48603,5.43E-03
P213,0.046838356,4.09E-04,1006,48603,5.62E-03
P214,0.054929161,4.23E-04,1006,48603,5.73E-03
P215,-0.044379291,4.22E-04,1006,48603,5.73E-03
P216,0.063082111,4.23E-04,1006,48603,5.73E-03
P217,0.051022826,4.71E-04,1006,48603,6.31E-03
P218,-0.052956448,4.70E-04,1006,48603,6.31E-03
P219,0.077058838,4.74E-04,1006,48603,6.32E-03
P220,0.083367771,4.79E-04,1006,48603,6.36E-03
P221,-0.028625441,4.82E-04,1006,48603,6.37E-03
P222,0.053369585,4.90E-04,1006,48603,6.42E-03
P223,0.128240801,4.90E-04,1006,48603,6.42E-03
P224,0.06472161,5.04E-04,1006,48603,6.57E-03
P225,0.077388695,5.30E-04,1006,48603,6.88E-03
P226,0.025862759,5.51E-04,1006,48603,7.13E-03
P227,0.082206034,5.75E-04,1006,48603,7.40E-03
P228,0.031068148,5.90E-04,1006,48603,7.56E-03
P229,-0.036876879,5.95E-04,1006,48603,7.60E-03
P230,0.029136448,6.35E-04,1006,48603,8.07E-03
P231,0.100027264,6.79E-04,1006,48603,8.59E-03
P232,-0.115350452,6.83E-04,1006,48603,8.60E-03
P233,0.0299552,7.08E-04,1006,48603,8.88E-03
P234,0.069234764,7.16E-04,1006,48603,8.95E-03
P235,0.073532832,7.43E-04,1006,48603,9.20E-03
P236,0.087036449,7.40E-04,1006,48603,9.20E-03
P237,-0.051138406,7.55E-04,1006,48603,9.27E-03
P238,0.042314845,7.54E-04,1006,48603,9.27E-03
P239,-0.07346138,7.62E-04,1006,48603,9.28E-03
P240,0.042881369,7.61E-04,1006,48603,9.28E-03
P241,0.03131221,7.77E-04,1006,48603,9.42E-03
P242,0.021037207,7.97E-04,1006,48603,9.61E-03
P243,0.030164328,8.02E-04,1006,48603,9.61E-03
P244,0.033518926,7.99E-04,1006,48603,9.61E-03
P245,0.033872251,8.14E-04,1006,48603,9.71E-03
P246,0.065933495,8.30E-04,1006,48603,9.86E-03
P247,-0.087109378,8.42E-04,1006,48603,9.93E-03
P248,0.03340757,8.42E-04,1006,48603,9.93E-03
P249,0.108413505,8.53E-04,1006,48603,1.00E-02
P250,0.036015107,8.57E-04,1006,48603,1.00E-02
P251,0.091916753,8.62E-04,1006,48603,1.00E-02
P252,0.028525406,8.64E-04,1006,48603,1.00E-02
P253,0.043023997,8.96E-04,1006,48603,1.04E-02
P254,0.031988734,9.47E-04,1006,48603,1.09E-02
P255,-0.247257674,9.58E-04,1006,48603,1.10E-02
P256,0.03384143,9.78E-04,1006,48603,1.12E-02
P257,0.055819911,9.89E-04,1006,48603,1.12E-02
P258,0.067535157,1.00E-03,1006,48603,1.14E-02
P259,-0.051094469,1.01E-03,1006,48603,1.14E-02
P260,0.030636143,1.03E-03,1006,48603,1.15E-02
P261,0.041506184,1.03E-03,1006,48603,1.15E-02
P262,-0.031175335,1.06E-03,1006,48603,1.18E-02
P263,0.035695539,1.06E-03,1006,48603,1.18E-02
P264,0.070286706,1.09E-03,1006,48603,1.20E-02
P265,0.17583702,1.09E-03,1006,48603,1.20E-02
P266,0.034526096,1.11E-03,1006,48603,1.22E-02
P267,-0.043820715,1.11E-03,1006,48603,1.22E-02
P268,0.075053925,1.18E-03,1006,48603,1.28E-02
P269,0.103953241,1.19E-03,1006,48603,1.30E-02
P270,0.022124769,1.28E-03,1006,48603,1.38E-02
P271,0.040004766,1.32E-03,1006,48603,1.42E-02
P272,0.031282916,1.34E-03,1006,48603,1.44E-02
P273,0.046699133,1.36E-03,1006,48603,1.45E-02
P274,0.036482256,1.35E-03,1006,48603,1.45E-02
P275,0.039875192,1.37E-03,1006,48603,1.46E-02
P276,0.040488175,1.38E-03,1006,48603,1.47E-02
P277,0.042892423,1.39E-03,1006,48603,1.47E-02
P278,0.14105914,1.43E-03,1006,48603,1.50E-02
P279,0.079048475,1.46E-03,1006,48603,1.53E-02
P280,0.084955605,1.49E-03,1006,48603,1.56E-02
P281,-0.02945682,1.51E-03,1006,48603,1.56E-02
P282,0.076206667,1.50E-03,1006,48603,1.56E-02
P283,0.06651712,1.52E-03,1006,48603,1.57E-02
P284,-0.036239882,1.56E-03,1006,48603,1.60E-02
P285,0.04277368,1.58E-03,1006,48603,1.62E-02
P286,-0.032417741,1.60E-03,1006,48603,1.64E-02
P287,0.037057232,1.63E-03,1006,48603,1.65E-02
P288,0.121239867,1.63E-03,1006,48603,1.65E-02
P289,0.03770191,1.63E-03,1006,48603,1.65E-02
P290,0.076816433,1.64E-03,1006,48603,1.66E-02
P291,0.031574897,1.67E-03,1006,48603,1.67E-02
P292,0.094596288,1.67E-03,1006,48603,1.67E-02
P293,0.044373115,1.69E-03,1006,48603,1.68E-02
P294,0.093862904,1.72E-03,1006,48603,1.70E-02
P295,-0.047698708,1.71E-03,1006,48603,1.70E-02
P296,0.0429637,1.73E-03,1006,48603,1.71E-02
P297,-0.044471812,1.77E-03,1006,48603,1.74E-02
P298,0.031178961,1.84E-03,1006,48603,1.81E-02
P299,0.055841634,1.87E-03,1006,48603,1.83E-02
P300,-0.05243162,1.88E-03,1006,48603,1.84E-02
P301,0.072307855,1.95E-03,1006,48603,1.90E-02
P302,0.066107787,1.99E-03,1006,48603,1.92E-02
P303,0.047019066,2.01E-03,1006,48603,1.93E-02
P304,0.027885921,2.05E-03,1006,48603,1.97E-02
P305,0.117690183,2.07E-03,1006,48603,1.98E-02
P306,0.086900887,2.12E-03,1006,48603,2.02E-02
P307,-0.081631318,2.19E-03,1006,48603,2.09E-02
P308,0.066356744,2.22E-03,1006,48603,2.10E-02
P309,0.115594048,2.22E-03,1006,48603,2.10E-02
P310,0.042505076,2.24E-03,1006,48603,2.11E-02
P311,0.089276853,2.27E-03,1006,48603,2.13E-02
P312,0.061434737,2.31E-03,1006,48603,2.17E-02
P313,0.056015965,2.37E-03,1006,48603,2.22E-02
P314,-0.033882687,2.38E-03,1006,48603,2.22E-02
P315,0.048891667,2.40E-03,1006,48603,2.22E-02
P316,0.04509163,2.39E-03,1006,48603,2.22E-02
P317,0.095737443,2.41E-03,1006,48603,2.22E-02
P318,0.032573527,2.43E-03,1006,48603,2.23E-02
P319,0.065769123,2.44E-03,1006,48603,2.24E-02
P320,-0.050847545,2.47E-03,1006,48603,2.26E-02
P321,0.03229973,2.49E-03,1006,48603,2.27E-02
P322,0.039913585,2.51E-03,1006,48603,2.28E-02
P323,0.032578949,2.56E-03,1006,48603,2.31E-02
P324,0.028942171,2.56E-03,1006,48603,2.31E-02
P325,-0.04303264,2.57E-03,1006,48603,2.31E-02
P326,0.02271643,2.60E-03,1006,48603,2.33E-02
P327,0.110752936,2.60E-03,1006,48603,2.33E-02
P328,0.034348216,2.63E-03,1006,48603,2.35E-02
P329,0.053778583,2.71E-03,1006,48603,2.40E-02
P330,0.042147772,2.76E-03,1006,48603,2.44E-02
P331,0.048353216,2.93E-03,1006,48603,2.57E-02
P332,0.026530248,2.94E-03,1006,48603,2.57E-02
P333,0.02614002,2.92E-03,1006,48603,2.57E-02
P334,0.039288581,2.94E-03,1006,48603,2.57E-02
P335,-0.085211737,2.96E-03,1006,48603,2.58E-02
P336,0.041344532,2.98E-03,1006,48603,2.59E-02
P337,-0.036988015,2.99E-03,1006,48603,2.60E-02
P338,0.091237784,3.00E-03,1006,48603,2.60E-02
P339,0.064010212,3.07E-03,1006,48603,2.65E-02
P340,0.067934504,3.10E-03,1006,48603,2.66E-02
P341,0.039849203,3.09E-03,1006,48603,2.66E-02
P342,0.080490797,3.11E-03,1006,48603,2.66E-02
P343,-0.081747902,3.18E-03,1006,48603,2.71E-02
