protein,fold_change,pval,n healthy,n sick,p_adj
P952,0.019654356,1.08E-01,1006,48603,3.31E-01
P953,0.045636583,1.08E-01,1006,48603,3.31E-01
P954,0.03344136,1.08E-01,1006,48603,3.31E-01
P955,0.026312866,1.08E-01,1006,48603,3.31E-01
P956,0.040122243,1.08E-01,1006,48603,3.31E-01
P957,0.038775373,1.08E-01,1006,48603,3.31E-01
P958,0.022752106,1.09E-01,1006,48603,3.31E-01
P959,0.042268369,1.09E-01,1006,48603,3.32E-01
P960,-0.022461981,1.09E-01,1006,48603,3.32E-01
P961,-0.033963975,1.09E-01,1006,48603,3.32E-01
P962,0.027499089,1.09E-01,1006,48603,3.32E-01
P963,0.033635994,1.10E-01,1006,48603,3.35E-01
P964,0.034007204,1.10E-01,1006,48603,3.35E-01
P965,0.041850008,1.11E-01,1006,48603,3.36E-01
P966,0.031305074,1.11E-01,1006,48603,3.36E-01
P967,0.012813615,1.11E-01,1006,48603,3.37E-01
P968,-0.020975828,1.12E-01,1006,48603,3.37E-01
P969,-0.024345362,1.12E-01,1006,48603,3.37E-01
P970,0.045369613,1.12E-01,1006,48603,3.37E-01
P971,0.01780982,1.12E-01,1006,48603,3.37E-01
P972,-0.01592184,1.12E-01,1006,48603,3.37E-01
P973,0.055463813,1.12E-01,1006,48603,3.37E-01
P974,0.018597698,1.12E-01,1006,48603,3.37E-01
P975,-0.013091645,1.13E-01,1006,48603,3.38E-01
P976,0.037122172,1.13E-01,1006,48603,3.38E-01
P977,0.051313254,1.13E-01,1006,48603,3.38E-01
P978,0.046708568,1.13E-01,1006,48603,3.38E-01
P979,-0.018316347,1.14E-01,1006,48603,3.39E-01
P980,0.027816933,1.14E-01,1006,48603,3.39E-01
P981,0.022846151,1.14E-01,1006,48603,3.40E-01
P982,0.032464694,1.14E-01,1006,48603,3.40E-01
P983,0.029663701,1.14E-01,1006,48603,3.40E-01
P984,0.020510671,1.16E-01,1006,48603,3.43E-01
P985,0.032389254,1.16E-01,1006,48603,3.44E-01
P986,0.019744597,1.16E-01,1006,48603,3.44E-01
P987,-0.02004717,1.16E-01,1006,48603,3.45E-01
P988,0.015787586,1.16E-01,1006,48603,3.45E-01
P989,-0.152294509,1.17E-01,1006,48603,3.45E-01
P990,0.034887218,1.17E-01,1006,48603,3.46E-01
P991,-0.023653047,1.18E-01,1006,48603,3.48E-01
P992,0.022371993,1.18E-01,1006,48603,3.48E-01
P993,0.014661901,1.19E-01,1006,48603,3.49E-01
P994,0.022733489,1.20E-01,1006,48603,3.52E-01
P995,-0.034987067,1.20E-01,1006,48603,3.53E-01
P996,-0.027281159,1.21E-01,1006,48603,3.54E-01
P997,0.01251104,1.21E-01,1006,48603,3.54E-01
P998,-0.019503238,1.21E-01,1006,48603,3.55E-01
P999,0.028632786,1.21E-01,1006,48603,3.55E-01
P1000,0.039441388,1.22E-01,1006,48603,3.56E-01
P1001,0.031167288,1.22E-01,1006,48603,3.57E-01
P1002,0.038747059,1.22E-01,1006,48603,3.57E-01
P1003,-0.014645807,1.22E-01,1006,48603,3.57E-01
P1004,-0.041736148,1.23E-01,1006,48603,3.57E-01
P1005,0.03611565,1.23E-01,1006,48603,3.57E-01
P1006,0.037284324,1.23E-01,1006,48603,3.58E-01
P1007,0.04051723,1.23E-01,1006,48603,3.58E-01
P1008,0.011610019,1.23E-01,1006,48603,3.58E-01
P1009,0.039499681,1.24E-01,1006,48603,3.60E-01
P1010,0.033826112,1.24E-01,1006,48603,3.60E-01
P1011,0.046552789,1.25E-01,1006,48603,3.61E-01
P1012,0.047376102,1.25E-01,1006,48603,3.61E-01
P1013,0.021834487,1.25E-01,1006,48603,3.61E-01
P1014,0.036938778,1.25E-01,1006,48603,3.61E-01
P1015,0.020250479,1.25E-01,1006,48603,3.61E-01
P1016,-0.019251838,1.25E-01,1006,48603,3.61E-01
P1017,0.032144214,1.26E-01,1006,48603,3.61E-01
P1018,-0.023322226,1.26E-01,1006,48603,3.62E-01
P1019,-0.027123029,1.26E-01,1006,48603,3.63E-01
P1020,0.034737797,1.27E-01,1006,48603,3.63E-01
P1021,0.048107671,1.27E-01,1006,48603,3.63E-01
P1022,0.037424931,1.28E-01,1006,48603,3.65E-01
P1023,-0.043866013,1.28E-01,1006,48603,3.65E-01
P1024,0.016324372,1.28E-01,1006,48603,3.66E-01
P1025,0.020772346,1.29E-01,1006,48603,3.66E-01
P1026,-0.018597566,1.29E-01,1006,48603,3.66E-01
P1027,0.033174768,1.29E-01,1006,48603,3.66E-01
P1028,0.030289679,1.29E-01,1006,48603,3.66E-01
P1029,0.019470188,1.30E-01,1006,48603,3.66E-01
P1030,0.014608966,1.28E-01,1006,48603,3.66E-01
P1031,-0.022030938,1.29E-01,1006,48603,3.66E-01
P1032,0.054381299,1.29E-01,1006,48603,3.66E-01
P1033,0.042311619,1.29E-01,1006,48603,3.66E-01
P1034,0.023707025,1.29E-01,1006,48603,3.66E-01
P1035,0.027827319,1.30E-01,1006,48603,3.67E-01
P1036,0.04198201,1.30E-01,1006,48603,3.67E-01
P1037,-0.015599195,1.30E-01,1006,48603,3.67E-01
P1038,-0.021304915,1.31E-01,1006,48603,3.68E-01
P1039,0.046785998,1.31E-01,1006,48603,3.68E-01
P1040,0.036773658,1.31E-01,1006,48603,3.69E-01
P1041,0.028286017,1.32E-01,1006,48603,3.70E-01
P1042,-0.037793613,1.33E-01,1006,48603,3.72E-01
P1043,0.042895374,1.33E-01,1006,48603,3.72E-01
P1044,0.040685675,1.33E-01,1006,48603,3.73E-01
P1045,0.021078678,1.33E-01,1006,48603,3.73E-01
P1046,0.027385934,1.35E-01,1006,48603,3.77E-01
P1047,0.053507056,1.35E-01,1006,48603,3.77E-01
P1048,-0.029735479,1.36E-01,1006,48603,3.77E-01
P1049,0.014329286,1.36E-01,1006,48603,3.77E-01
P1050,0.026672734,1.35E-01,1006,48603,3.77E-01
P1051,0.030533224,1.36E-01,1006,48603,3.77E-01
P1052,0.046144946,1.36E-01,1006,48603,3.79E-01
P1053,0.023971638,1.37E-01,1006,48603,3.81E-01
P1054,0.03926457,1.37E-01,1006,48603,3.81E-01
P1055,0.035198383,1.37E-01,1006,48603,3.81E-01
P1056,-0.018696911,1.38E-01,1006,48603,3.81E-01
P1057,0.040072058,1.38E-01,1006,48603,3.82E-01
P1058,0.020281771,1.39E-01,1006,48603,3.84E-01
P1059,0.027419415,1.39E-01,1006,48603,3.84E-01
P1060,0.023663486,1.41E-01,1006,48603,3.88E-01
P1061,0.056656717,1.41E-01,1006,48603,3.88E-01
P1062,-0.02683157,1.41E-01,1006,48603,3.88E-01
P1063,0.018194358,1.41E-01,1006,48603,3.88E-01
P1064,0.024016068,1.41E-01,1006,48603,3.88E-01
P1065,0.033226927,1.41E-01,1006,48603,3.88E-01
P1066,-0.036911539,1.42E-01,1006,48603,3.89E-01
P1067,0.031456331,1.42E-01,1006,48603,3.89E-01
P1068,-0.023533035,1.42E-01,1006,48603,3.90E-01
P1069,0.026204453,1.42E-01,1006,48603,3.90E-01
P1070,0.046659743,1.44E-01,1006,48603,3.94E-01
P1071,-0.022501788,1.44E-01,1006,48603,3.94E-01
P1072,0.033209775,1.44E-01,1006,48603,3.94E-01
P1073,0.027992582,1.45E-01,1006,48603,3.94E-01
P1074,0.024447656,1.45E-01,1006,48603,3.94E-01
P1075,-0.021409528,1.46E-01,1006,48603,3.97E-01
P1076,0.030017944,1.46E-01,1006,48603,3.97E-01
P1077,0.024415132,1.46E-01,1006,48603,3.97E-01
P1078,0.042488975,1.46E-01,1006,48603,3.97E-01
P1079,0.014080683,1.47E-01,1006,48603,3.97E-01
P1080,-0.028330803,1.48E-01,1006,48603,3.99E-01
P1081,0.025427764,1.48E-01,1006,48603,3.99E-01
P1082,0.031716355,1.48E-01,1006,48603,4.00E-01
P1083,-0.015092819,1.49E-01,1006,48603,4.02E-01
P1084,0.029263372,1.49E-01,1006,48603,4.02E-01
P1085,0.015934085,1.49E-01,1006,48603,4.02E-01
P1086,0.03285699,1.50E-01,1006,48603,4.04E-01
P1087,0.023143874,1.51E-01,1006,48603,4.04E-01
P1088,-0.013582289,1.50E-01,1006,48603,4.04E-01
P1089,0.062334109,1.51E-01,1006,48603,4.04E-01
P1090,0.023262421,1.51E-01,1006,48603,4.04E-01
P1091,0.011740109,1.51E-01,1006,48603,4.04E-01
P1092,0.035027871,1.53E-01,1006,48603,4.08E-01
P1093,0.013171394,1.53E-01,1006,48603,4.08E-01
P1094,0.034101038,1.53E-01,1006,48603,4.08E-01
P1095,0.025353979,1.53E-01,1006,48603,4.08E-01
P1096,0.013676797,1.53E-01,1006,48603,4.09E-01
P1097,0.042380593,1.54E-01,1006,48603,4.11E-01
P1098,-0.031179897,1.54E-01,1006,48603,4.11E-01
P1099,0.016097955,1.54E-01,1006,48603,4.11E-01
P1100,0.058980953,1.55E-01,1006,48603,4.11E-01
P1101,0.0245098,1.55E-01,1006,48603,4.11E-01
P1102,-0.017075825,1.55E-01,1006,48603,4.11E-01
P1103,0.02911311,1.55E-01,1006,48603,4.11E-01
P1104,0.016808118,1.55E-01,1006,48603,4.11E-01
P1105,0.015839114,1.56E-01,1006,48603,4.12E-01
P1106,-0.030711306,1.56E-01,1006,48603,4.12E-01
P1107,0.010195544,1.57E-01,1006,48603,4.14E-01
P1108,0.057701285,1.57E-01,1006,48603,4.14E-01
P1109,0.024456194,1.57E-01,1006,48603,4.14E-01
P1110,-0.035294837,1.57E-01,1006,48603,4.15E-01
P1111,-0.014833827,1.58E-01,1006,48603,4.15E-01
P1112,-0.032694655,1.58E-01,1006,48603,4.15E-01
P1113,0.021502851,1.58E-01,1006,48603,4.15E-01
P1114,0.028466113,1.58E-01,1006,48603,4.15E-01
P1115,0.02592944,1.59E-01,1006,48603,4.15E-01
P1116,-0.012245454,1.59E-01,1006,48603,4.15E-01
P1117,-0.016804822,1.59E-01,1006,48603,4.17E-01
P1118,0.046358966,1.60E-01,1006,48603,4.18E-01
P1119,0.03557112,1.60E-01,1006,48603,4.18E-01
P1120,0.033554428,1.61E-01,1006,48603,4.20E-01
P1121,0.014731639,1.61E-01,1006,48603,4.20E-01
P1122,-0.026978016,1.61E-01,1006,48603,4.20E-01
P1123,-0.024538699,1.61E-01,1006,48603,4.20E-01
P1124,0.027128587,1.63E-01,1006,48603,4.22E-01
P1125,0.033152387,1.63E-01,1006,48603,4.22E-01
P1126,0.029809439,1.63E-01,1006,48603,4.22E-01
P1127,0.011356616,1.63E-01,1006,48603,4.23E-01
P1128,0.030484324,1.63E-01,1006,48603,4.24E-01
P1129,-0.023524636,1.64E-01,1006,48603,4.24E-01
P1130,0.014150397,1.64E-01,1006,48603,4.24E-01
P1131,0.023717215,1.64E-01,1006,48603,4.24E-01
P1132,0.024379998,1.65E-01,1006,48603,4.24E-01
P1133,-0.029258252,1.65E-01,1006,48603,4.24E-01
P1134,0.023745248,1.64E-01,1006,48603,4.24E-01
P1135,0.036233764,1.64E-01,1006,48603,4.24E-01
P1136,0.038334365,1.66E-01,1006,48603,4.27E-01
P1137,-0.015978545,1.66E-01,1006,48603,4.28E-01
P1138,-0.042805655,1.66E-01,1006,48603,4.28E-01
P1139,0.033302304,1.67E-01,1006,48603,4.29E-01
P1140,-0.020976971,1.67E-01,1006,48603,4.29E-01
P1141,0.037007061,1.68E-01,1006,48603,4.29E-01
P1142,0.03926613,1.68E-01,1006,48603,4.30E-01
P1143,-0.013283532,1.68E-01,1006,48603,4.30E-01
P1144,-0.021876795,1.68E-01,1006,48603,4.30E-01
P1145,0.032707539,1.69E-01,1006,48603,4.30E-01
P1146,0.039767716,1.69E-01,1006,48603,4.31E-01
P1147,0.049284582,1.70E-01,1006,48603,4.32E-01
P1148,0.030427946,1.70E-01,1006,48603,4.32E-01
P1149,0.021114264,1.70E-01,1006,48603,4.33E-01
P1150,-0.020593795,1.70E-01,1006,48603,4.33E-01
P1151,0.023217014,1.71E-01,1006,48603,4.33E-01
P1152,0.017647383,1.71E-01,1006,48603,4.34E-01
P1153,0.032045692,1.71E-01,1006,48603,4.35E-01
P1154,0.021741511,1.72E-01,1006,48603,4.35E-01
P1155,0.027923513,1.72E-01,1006,48603,4.36E-01
P1156,0.010038412,1.72E-01,1006,48603,4.36E-01
P1157,0.033893409,1.74E-01,1006,48603,4.38E-01
P1158,0.023252685,1.75E-01,1006,48603,4.42E-01
P1159,-0.04460371,1.75E-01,1006,48603,4.42E-01
P1160,0.015326608,1.76E-01,1006,48603,4.42E-01
P1161,0.014020109,1.76E-01,1006,48603,4.43E-01
P1162,0.020811876,1.76E-01,1006,48603,4.43E-01
P1163,-0.14547541,1.76E-01,1006,48603,4.43E-01
P1164,0.028872372,1.77E-01,1006,48603,4.44E-01
P1165,0.031331217,1.77E-01,1006,48603,4.44E-01
P1166,0.013417588,1.78E-01,1006,48603,4.45E-01
P1167,-0.018038412,1.77E-01,1006,48603,4.45E-01
P1168,-0.015166178,1.79E-01,1006,48603,4.46E-01
P1169,0.022033579,1.79E-01,1006,48603,4.46E-01
P1170,-0.010261838,1.79E-01,1006,48603,4.46E-01
P1171,0.032161416,1.79E-01,1006,48603,4.46E-01
P1172,0.017023739,1.80E-01,1006,48603,4.47E-01
P1173,0.04404429,1.80E-01,1006,48603,4.47E-01
P1174,0.048003804,1.80E-01,1006,48603,4.47E-01
P1175,-0.013341503,1.80E-01,1006,48603,4.47E-01
P1176,0.04197252,1.82E-01,1006,48603,4.51E-01
P1177,0.035031364,1.83E-01,1006,48603,4.54E-01
P1178,-0.034845787,1.83E-01,1006,48603,4.54E-01
P1179,0.023481145,1.83E-01,1006,48603,4.54E-01
P1180,-0.0376045,1.84E-01,1006,48603,4.55E-01
P1181,-0.013272772,1.84E-01,1006,48603,4.55E-01
P1182,0.040281973,1.85E-01,1006,48603,4.57E-01
P1183,0.023803642,1.85E-01,1006,48603,4.57E-01
P1184,-0.032158061,1.85E-01,1006,48603,4.58E-01
P1185,-0.013912462,1.85E-01,1006,48603,4.58E-01
P1186,-0.031630553,1.86E-01,1006,48603,4.58E-01
P1187,-0.02304235,1.86E-01,1006,48603,4.58E-01
P1188,-0.032967542,1.86E-01,1006,48603,4.58E-01
P1189,-0.015377004,1.86E-01,1006,48603,4.58E-01
P1190,-0.013576351,1.87E-01,1006,48603,4.60E-01
P1191,0.032961361,1.88E-01,1006,48603,4.61E-01
P1192,0.034222428,1.88E-01,1006,48603,4.61E-01
P1193,0.03419595,1.88E-01,1006,48603,4.62E-01
P1194,0.050691631,1.91E-01,1006,48603,4.68E-01
P1195,-0.017344578,1.92E-01,1006,48603,4.69E-01
P1196,0.040836999,1.92E-01,1006,48603,4.69E-01
P1197,-0.033159488,1.92E-01,1006,48603,4.69E-01
P1198,0.018578316,1.92E-01,1006,48603,4.69E-01
P1199,0.02888494,1.93E-01,1006,48603,4.70E-01
P1200,-0.021100428,1.93E-01,1006,48603,4.70E-01
P1201,-0.014920318,1.93E-01,1006,48603,4.70E-01
P1202,0.01511877,1.94E-01,1006,48603,4.72E-01
P1203,0.02938482,1.95E-01,1006,48603,4.73E-01
P1204,0.027721658,1.96E-01,1006,48603,4.74E-01
P1205,0.022317841,1.95E-01,1006,48603,4.74E-01
P1206,-0.009343393,1.96E-01,1006,48603,4.74E-01
P1207,-0.039634968,1.95E-01,1006,48603,4.74E-01
P1208,-0.016920759,1.96E-01,1006,48603,4.74E-01
P1209,0.016788274,1.96E-01,1006,48603,4.74E-01
P1210,0.028625245,1.96E-01,1006,48603,4.74E-01
P1211,0.016094589,1.96E-01,1006,48603,4.74E-01
P1212,0.019309455,1.97E-01,1006,48603,4.74E-01
P1213,-0.012305775,1.97E-01,1006,48603,4.75E-01
P1214,0.023858639,1.98E-01,1006,48603,4.75E-01
P1215,0.030069653,1.98E-01,1006,48603,4.75E-01
P1216,0.018937438,1.98E-01,1006,48603,4.75E-01
P1217,0.022527599,1.98E-01,1006,48603,4.75E-01
P1218,-0.035917593,1.98E-01,1006,48603,4.75E-01
P1219,0.005710004,1.98E-01,1006,48603,4.75E-01
P1220,-0.012871069,1.99E-01,1006,48603,4.77E-01
P1221,0.039890617,1.99E-01,1006,48603,4.77E-01
P1222,0.052964573,1.99E-01,1006,48603,4.77E-01
P1223,0.028606423,2.00E-01,1006,48603,4.77E-01
P1224,0.033604879,2.00E-01,1006,48603,4.77E-01
P1225,-0.031547557,2.00E-01,1006,48603,4.78E-01
P1226,0.023232833,2.01E-01,1006,48603,4.78E-01
P1227,-0.050174166,2.01E-01,1006,48603,4.78E-01
P1228,0.01469639,2.01E-01,1006,48603,4.78E-01
P1229,0.021489665,2.01E-01,1006,48603,4.78E-01
P1230,0.013921389,2.01E-01,1006,48603,4.78E-01
P1231,-0.017128064,2.02E-01,1006,48603,4.79E-01
P1232,-0.028764775,2.02E-01,1006,48603,4.79E-01
P1233,0.030118321,2.03E-01,1006,48603,4.81E-01
P1234,-0.019421151,2.04E-01,1006,48603,4.82E-01
P1235,0.018612312,2.04E-01,1006,48603,4.82E-01
P1236,0.032308903,2.04E-01,1006,48603,4.83E-01
P1237,-0.025671521,2.05E-01,1006,48603,4.84E-01
P1238,0.025437849,2.05E-01,1006,48603,4.85E-01
P1239,-0.016934979,2.05E-01,1006,48603,4.85E-01
P1240,-0.024714826,2.06E-01,1006,48603,4.85E-01
P1241,-0.024674147,2.06E-01,1006,48603,4.85E-01
P1242,0.018228903,2.06E-01,1006,48603,4.85E-01
P1243,0.013541707,2.06E-01,1006,48603,4.85E-01
P1244,0.027170225,2.07E-01,1006,48603,4.87E-01
P1245,0.040166048,2.08E-01,1006,48603,4.88E-01
P1246,0.022993251,2.09E-01,1006,48603,4.88E-01
P1247,0.045980215,2.09E-01,1006,48603,4.88E-01
P1248,0.059328945,2.08E-01,1006,48603,4.88E-01
P1249,0.026765649,2.09E-01,1006,48603,4.88E-01
P1250,0.016279891,2.08E-01,1006,48603,4.88E-01
P1251,0.037343533,2.09E-01,1006,48603,4.88E-01
P1252,0.015850948,2.09E-01,1006,48603,4.88E-01
P1253,-0.009339131,2.09E-01,1006,48603,4.88E-01
P1254,0.022790907,2.10E-01,1006,48603,4.89E-01
P1255,0.02433153,2.10E-01,1006,48603,4.90E-01
P1256,0.018300588,2.11E-01,1006,48603,4.91E-01
P1257,-0.019954196,2.11E-01,1006,48603,4.91E-01
P1258,0.033388953,2.12E-01,1006,48603,4.92E-01
P1259,0.017380021,2.12E-01,1006,48603,4.92E-01
P1260,-0.029311237,2.12E-01,1006,48603,4.92E-01
P1261,0.027927266,2.12E-01,1006,48603,4.92E-01
P1262,0.016989602,2.12E-01,1006,48603,4.92E-01
P1263,-0.014020397,2.12E-01,1006,48603,4.92E-01
P1264,-0.012870262,2.13E-01,1006,48603,4.93E-01
P1265,-0.024086367,2.13E-01,1006,48603,4.93E-01
P1266,0.040995493,2.14E-01,1006,48603,4.93E-01
P1267,-0.024245373,2.15E-01,1006,48603,4.96E-01
P1268,0.037318955,2.15E-01,1006,48603,4.96E-01
P1269,0.031071386,2.15E-01,1006,48603,4.96E-01
P1270,-0.021547736,2.16E-01,1006,48603,4.98E-01
P1271,0.019909521,2.17E-01,1006,48603,4.98E-01
P1272,0.060263337,2.17E-01,1006,48603,4.98E-01
P1273,-0.022405062,2.17E-01,1006,48603,4.98E-01
P1274,0.027546385,2.18E-01,1006,48603,5.00E-01
P1275,0.014125641,2.18E-01,1006,48603,5.00E-01
P1276,-0.020585256,2.19E-01,1006,48603,5.01E-01
P1277,0.021237309,2.19E-01,1006,48603,5.01E-01
P1278,0.030355136,2.19E-01,1006,48603,5.01E-01
P1279,0.037320544,2.19E-01,1006,48603,5.02E-01
P1280,-0.021766631,2.21E-01,1006,48603,5.03E-01
P1281,0.037036527,2.20E-01,1006,48603,5.03E-01
P1282,0.011826468,2.21E-01,1006,48603,5.03E-01
P1283,-0.027651156,2.21E-01,1006,48603,5.03E-01
P1284,0.019366581,2.21E-01,1006,48603,5.04E-01
P1285,0.013263743,2.21E-01,1006,48603,5.04E-01
P1286,0.008728541,2.22E-01,1006,48603,5.04E-01
P1287,0.032189857,2.22E-01,1006,48603,5.04E-01
P1288,-0.028963433,2.22E-01,1006,48603,5.04E-01
P1289,0.023534716,2.22E-01,1006,48603,5.04E-01
P1290,0.012787023,2.23E-01,1006,48603,5.05E-01
P1291,0.043075045,2.23E-01,1006,48603,5.05E-01
P1292,-0.032083032,2.24E-01,1006,48603,5.07E-01
P1293,0.026134236,2.24E-01,1006,48603,5.07E-01
P1294,0.032653281,2.25E-01,1006,48603,5.08E-01
P1295,-0.017588546,2.25E-01,1006,48603,5.08E-01
P1296,0.034331534,2.25E-01,1006,48603,5.08E-01
P1297,0.029588962,2.25E-01,1006,48603,5.08E-01
P1298,0.016267926,2.26E-01,1006,48603,5.09E-01
P1299,-0.02867875,2.27E-01,1006,48603,5.10E-01
P1300,-0.028037767,2.27E-01,1006,48603,5.10E-01
P1301,0.017859479,2.27E-01,1006,48603,5.10E-01
P1302,0.041697307,2.28E-01,1006,48603,5.10E-01
P1303,0.045986655,2.27E-01,1006,48603,5.10E-01
P1304,0.01243633,2.27E-01,1006,48603,5.10E-01
P1305,0.06532884,2.28E-01,1006,48603,5.11E-01
P1306,0.031767698,2.29E-01,1006,48603,5.12E-01
P1307,-0.017771662,2.29E-01,1006,48603,5.12E-01
P1308,-0.023445834,2.29E-01,1006,48603,5.12E-01
P1309,0.01402801,2.30E-01,1006,48603,5.13E-01
P1310,0.025160859,2.30E-01,1006,48603,5.13E-01
P1311,0.013746052,2.31E-01,1006,48603,5.13E-01
P1312,-0.027211674,2.31E-01,1006,48603,5.13E-01
P1313,-0.011259831,2.30E-01,1006,48603,5.13E-01
P1314,-0.030314253,2.31E-01,1006,48603,5.13E-01
P1315,0.032903766,2.30E-01,1006,48603,5.13E-01
P1316,-0.038187941,2.31E-01,1006,48603,5.13E-01
P1317,-0.013370067,2.31E-01,1006,48603,5.13E-01
P1318,0.017215629,2.31E-01,1006,48603,5.13E-01
P1319,0.02969731,2.31E-01,1006,48603,5.13E-01
P1320,-0.014802511,2.31E-01,1006,48603,5.13E-01
P1321,0.014603739,2.32E-01,1006,48603,5.14E-01
P1322,0.015622902,2.32E-01,1006,48603,5.14E-01
P1323,0.036025121,2.33E-01,1006,48603,5.14E-01
P1324,0.034347162,2.34E-01,1006,48603,5.16E-01
P1325,0.038446569,2.34E-01,1006,48603,5.16E-01
P1326,0.01385201,2.34E-01,1006,48603,5.16E-01
P1327,0.016864267,2.34E-01,1006,48603,5.16E-01
P1328,-0.019250644,2.36E-01,1006,48603,5.17E-01
P1329,0.020748116,2.36E-01,1006,48603,5.17E-01
P1330,0.009684867,2.35E-01,1006,48603,5.17E-01
P1331,0.032084744,2.36E-01,1006,48603,5.17E-01
P1332,0.009404665,2.36E-01,1006,48603,5.17E-01
P1333,0.026766503,2.36E-01,1006,48603,5.17E-01
P1334,0.033537293,2.36E-01,1006,48603,5.18E-01
P1335,-0.012767254,2.37E-01,1006,48603,5.18E-01
P1336,0.038040256,2.37E-01,1006,48603,5.18E-01
P1337,-0.018636516,2.37E-01,1006,48603,5.18E-01
P1338,-0.01378548,2.37E-01,1006,48603,5.18E-01
P1339,0.006403977,2.37E-01,1006,48603,5.18E-01
P1340,-0.030734579,2.38E-01,1006,48603,5.18E-01
P1341,0.027943906,2.38E-01,1006,48603,5.18E-01
P1342,0.037873056,2.38E-01,1006,48603,5.18E-01
P1343,0.015807391,2.39E-01,1006,48603,5.19E-01
P1344,-0.018857744,2.38E-01,1006,48603,5.19E-01
P1345,0.023359374,2.41E-01,1006,48603,5.20E-01
P1346,-0.012652805,2.40E-01,1006,48603,5.20E-01
P1347,-0.021820942,2.40E-01,1006,48603,5.20E-01
P1348,0.02136114,2.40E-01,1006,48603,5.20E-01
P1349,-0.026464613,2.40E-01,1006,48603,5.20E-01
P1350,0.028695651,2.40E-01,1006,48603,5.20E-01
P1351,0.038824938,2.39E-01,1006,48603,5.20E-01
P1352,-0.014983449,2.39E-01,1006,48603,5.20E-01
P1353,0.036817294,2.40E-01,1006,48603,5.20E-01
P1354,0.033965844,2.41E-01,1006,48603,5.20E-01
P1355,0.012862845,2.41E-01,1006,48603,5.20E-01
P1356,0.024204205,2.41E-01,1006,48603,5.20E-01
P1357,0.029255167,2.42E-01,1006,48603,5.20E-01
P1358,-0.013130032,2.42E-01,1006,48603,5.20E-01
P1359,0.023812945,2.43E-01,1006,48603,5.22E-01
P1360,-0.055939222,2.43E-01,1006,48603,5.22E-01
P1361,0.040404955,2.43E-01,1006,48603,5.22E-01
P1362,-0.026540244,2.43E-01,1006,48603,5.22E-01
P1363,-0.011756351,2.43E-01,1006,48603,5.22E-01
P1364,-0.01465287,2.44E-01,1006,48603,5.23E-01
P1365,-0.025398468,2.45E-01,1006,48603,5.23E-01
P1366,-0.01602611,2.45E-01,1006,48603,5.23E-01
P1367,0.015583948,2.45E-01,1006,48603,5.23E-01
P1368,0.032490408,2.45E-01,1006,48603,5.23E-01
P1369,0.026103897,2.45E-01,1006,48603,5.23E-01
P1370,0.029629328,2.46E-01,1006,48603,5.24E-01
P1371,-0.011802785,2.47E-01,1006,48603,5.26E-01
P1372,0.019428764,2.47E-01,1006,48603,5.26E-01
P1373,0.028780827,2.47E-01,1006,48603,5.26E-01
P1374,0.024107552,2.47E-01,1006,48603,5.26E-01
P1375,-0.02898161,2.47E-01,1006,48603,5.26E-01
P1376,0.020263419,2.48E-01,1006,48603,5.28E-01
P1377,0.025163614,2.49E-01,1006,48603,5.28E-01
P1378,-0.020643086,2.50E-01,1006,48603,5.29E-01
P1379,0.039661749,2.49E-01,1006,48603,5.29E-01
P1380,0.019774952,2.50E-01,1006,48603,5.29E-01
P1381,0.029308675,2.50E-01,1006,48603,5.29E-01
P1382,0.019542769,2.50E-01,1006,48603,5.29E-01
P1383,0.010767066,2.50E-01,1006,48603,5.29E-01
P1384,0.026118231,2.51E-01,1006,48603,5.31E-01
P1385,0.017866249,2.52E-01,1006,48603,5.31E-01
P1386,0.016827209,2.52E-01,1006,48603,5.31E-01
P1387,0.01148553,2.52E-01,1006,48603,5.32E-01
P1388,0.013561766,2.53E-01,1006,48603,5.32E-01
P1389,0.02763643,2.53E-01,1006,48603,5.32E-01
P1390,-0.023276163,2.54E-01,1006,48603,5.34E-01
P1391,-0.014089812,2.54E-01,1006,48603,5.34E-01
P1392,0.032391327,2.54E-01,1006,48603,5.34E-01
P1393,0.015335827,2.54E-01,1006,48603,5.34E-01
P1394,-0.021305859,2.55E-01,1006,48603,5.34E-01
P1395,0.017510658,2.55E-01,1006,48603,5.35E-01
P1396,0.018632427,2.56E-01,1006,48603,5.35E-01
P1397,-0.014025833,2.56E-01,1006,48603,5.35E-01
P1398,-0.015755461,2.56E-01,1006,48603,5.35E-01
P1399,0.019130935,2.56E-01,1006,48603,5.35E-01
P1400,-0.018288946,2.56E-01,1006,48603,5.35E-01
P1401,0.006294039,2.56E-01,1006,48603,5.35E-01
P1402,0.01691036,2.57E-01,1006,48603,5.35E-01
P1403,-0.015542125,2.58E-01,1006,48603,5.37E-01
P1404,0.026592704,2.58E-01,1006,48603,5.37E-01
P1405,0.021690128,2.59E-01,1006,48603,5.37E-01
P1406,0.020374483,2.58E-01,1006,48603,5.37E-01
P1407,0.012484603,2.60E-01,1006,48603,5.39E-01
P1408,0.014558112,2.60E-01,1006,48603,5.39E-01
P1409,0.016634206,2.61E-01,1006,48603,5.39E-01
P1410,-0.014051486,2.60E-01,1006,48603,5.39E-01
P1411,0.026335229,2.61E-01,1006,48603,5.39E-01
P1412,0.032349533,2.60E-01,1006,48603,5.39E-01
P1413,0.016618755,2.61E-01,1006,48603,5.39E-01
